Corp_ID,Corp_Name,Schl_ID,Schl_Name,American_Indian,Asian,Black,Hispanic,Multiracial,Native_Hawaiian_or_Other,White,Free,Paid,Total,Perc,TopHis,FreePaid,TopHisFreePaid
0015,Adams Central Community Schools,0013,Adams Central Middle School,0,3,3,11,8,0,288,81,231,312,0.00,0.84,0.47,0.73
0015,Adams Central Community Schools,0020,Adams Central Elementary School,1,1,1,34,18,0,603,154,507,661,0.03,0.77,0.53,0.27
0015,Adams Central Community Schools,0021,Adams Central High School,1,1,1,13,2,0,351,79,291,370,0.13,0.77,,
0025,North Adams Community Schools,0029,Bellmont Senior High School,1,4,4,76,21,0,537,219,428,647,0.13,0.76,,
0025,North Adams Community Schools,0033,Bellmont Middle School,0,4,4,33,6,2,302,196,160,356,0.05,0.73,,
0025,North Adams Community Schools,0037,Bellmont Elementary,0,5,5,81,27,1,506,375,263,638,0.00,0.72,,
0035,South Adams Schools,0017,South Adams Middle School,0,2,2,38,6,0,212,116,145,261,0.66,0.72,,
0035,South Adams Schools,0023,South Adams High School,0,7,7,34,5,0,300,119,230,349,,0.70,,
0035,South Adams Schools,0025,South Adams Elementary School,0,5,5,68,17,1,537,295,333,628,,0.69,,
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,4,20,10,20,24,0,359,81,356,437,,0.67,,
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,2,39,77,35,38,0,366,155,402,557,,,,
0125,MSD Southwest Allen County Schls,0047,Homestead Senior High School,9,112,133,180,117,4,1948,386,2117,2503,,,,
0125,MSD Southwest Allen County Schls,0063,Summit Middle School,2,26,31,47,29,0,703,144,694,838,,,,
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0,11,24,33,28,0,577,113,560,673,,,,
0125,MSD Southwest Allen County Schls,0067,Woodside Middle School,2,64,114,73,54,5,711,214,809,1023,,,,
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0,15,36,36,24,0,342,101,352,453,,,,
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,4,30,14,22,21,0,308,30,369,399,,,,
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0,35,108,51,55,1,562,185,627,812,,,,
